dt_date,Parking
2022/8/1,19
2022/8/1,38
2022/8/1,11
2022/8/1,10
2022/8/1,9
2022/8/1,0
2022/8/1,0
2022/8/1,0
2022/8/2,0
2022/8/2,0
2022/8/2,0
2022/8/2,0
2022/8/2,0
2022/8/2,0
2022/8/2,0
2022/8/2,5
2022/8/2,13
2022/8/2,1
2022/8/2,1
2022/8/2,16
2022/8/2,16
2022/8/2,33
2022/8/2,40
2022/8/2,36
2022/8/2,33
2022/8/2,15
2022/8/2,11
2022/8/2,11
2022/8/2,8
2022/8/2,0
2022/8/2,0
2022/8/2,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,6
2022/8/3,14
2022/8/3,27
2022/8/3,25
2022/8/3,28
2022/8/3,22
2022/8/3,35
2022/8/3,41
2022/8/3,61
2022/8/3,38
2022/8/3,28
2022/8/3,19
2022/8/3,8
2022/8/3,10
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/4,0
2022/8/4,0
2022/8/4,0
2022/8/4,0
2022/8/4,0
2022/8/4,0
2022/8/4,0
2022/8/4,7
2022/8/4,12
2022/8/4,30
2022/8/4,26
2022/8/4,25
2022/8/4,21
2022/8/4,31
2022/8/4,46
2022/8/4,50
2022/8/4,47
2022/8/4,47
2022/8/4,27
2022/8/4,17
2022/8/4,8
2022/8/4,0
2022/8/4,0
2022/8/4,0
2022/8/5,0
2022/8/5,0
2022/8/5,0
2022/8/5,0
2022/8/5,0
2022/8/5,0
2022/8/5,0
2022/8/5,8
2022/8/5,18
2022/8/5,32
2022/8/5,35
2022/8/5,27
2022/8/5,28
2022/8/5,35
2022/8/5,38
2022/8/5,52
2022/8/5,46
2022/8/5,32
2022/8/5,9
2022/8/5,13
2022/8/5,10
2022/8/5,0
2022/8/5,0
2022/8/5,0
2022/8/6,0
2022/8/6,0
2022/8/6,0
2022/8/6,0
2022/8/6,0
2022/8/6,0
2022/8/6,0
2022/8/6,27
2022/8/6,38
2022/8/6,57
2022/8/6,51
2022/8/6,42
2022/8/6,41
2022/8/6,86
2022/8/6,98
2022/8/6,128
2022/8/6,86
2022/8/6,81
2022/8/6,58
2022/8/6,31
2022/8/6,20
2022/8/6,0
2022/8/6,0
2022/8/6,0
2022/8/7,0
2022/8/7,0
2022/8/7,0
2022/8/7,0
2022/8/7,0
2022/8/7,0
2022/8/7,0
2022/8/7,26
2022/8/7,73
2022/8/7,86
2022/8/7,98
2022/8/7,101
2022/8/7,91
2022/8/7,100
2022/8/7,47
2022/8/7,32
2022/8/7,19
2022/8/7,34
2022/8/7,10
2022/8/7,7
2022/8/7,4
2022/8/7,0
2022/8/7,0
2022/8/7,0
2022/8/8,0
2022/8/8,0
2022/8/8,0
2022/8/8,0
2022/8/8,0
2022/8/8,0
2022/8/8,0
2022/8/8,9
2022/8/8,34
2022/8/8,46
2022/8/8,65
2022/8/8,44
2022/8/8,26
2022/8/8,31
2022/8/8,35
2022/8/8,58
2022/8/8,54
2022/8/8,28
2022/8/8,9
2022/8/8,11
2022/8/8,11
2022/8/8,0
2022/8/8,0
2022/8/8,0
2022/8/9,0
2022/8/9,0
2022/8/9,0
2022/8/9,0
2022/8/9,0
2022/8/9,0
2022/8/9,0
2022/8/9,6
2022/8/9,10
2022/8/9,25
2022/8/9,29
2022/8/9,47
2022/8/9,15
2022/8/9,17
2022/8/9,29
2022/8/9,45
2022/8/9,29
2022/8/9,12
2022/8/9,7
2022/8/9,12
2022/8/9,8
2022/8/9,0
2022/8/9,0
2022/8/9,0
2022/8/10,0
2022/8/10,0
2022/8/10,0
2022/8/10,0
2022/8/10,0
2022/8/10,0
2022/8/10,0
2022/8/10,9
2022/8/10,20
2022/8/10,21
2022/8/10,32
2022/8/10,43
2022/8/10,22
2022/8/10,24
2022/8/10,32
2022/8/10,18
2022/8/10,1
2022/8/10,12
2022/8/10,3
2022/8/10,6
2022/8/10,4
2022/8/10,0
2022/8/10,0
2022/8/10,0
2022/8/11,0
2022/8/11,0
2022/8/11,0
2022/8/11,0
2022/8/11,0
2022/8/11,0
2022/8/11,0
2022/8/11,3
2022/8/11,20
2022/8/11,19
2022/8/11,32
2022/8/11,30
2022/8/11,33
2022/8/11,32
2022/8/11,35
2022/8/11,51
2022/8/11,26
2022/8/11,11
2022/8/11,3
2022/8/11,2
2022/8/11,1
2022/8/11,0
2022/8/11,0
2022/8/11,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,7
2022/8/12,17
2022/8/12,22
2022/8/12,21
2022/8/12,35
2022/8/12,22
2022/8/12,38
2022/8/12,40
2022/8/12,40
2022/8/12,5
2022/8/12,8
2022/8/12,6
2022/8/12,7
2022/8/12,3
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/13,0
2022/8/13,0
2022/8/13,0
2022/8/13,0
2022/8/13,0
2022/8/13,0
2022/8/13,0
2022/8/13,18
2022/8/13,58
2022/8/13,87
2022/8/13,72
2022/8/13,59
2022/8/13,70
2022/8/13,99
2022/8/13,102
2022/8/13,120
2022/8/13,135
2022/8/13,62
2022/8/13,32
2022/8/13,30
2022/8/13,31
2022/8/13,0
2022/8/13,0
2022/8/13,0
2022/8/14,0
2022/8/14,0
2022/8/14,0
2022/8/14,0
2022/8/14,0
2022/8/14,0
2022/8/14,0
2022/8/14,29
2022/8/14,78
2022/8/14,116
2022/8/14,99
2022/8/14,87
2022/8/14,96
2022/8/14,106
2022/8/14,137
2022/8/14,134
2022/8/14,142
2022/8/14,73
2022/8/14,34
2022/8/14,26
2022/8/14,9
2022/8/14,0
2022/8/14,0
2022/8/14,0
2022/8/15,0
2022/8/15,0
2022/8/15,0
2022/8/15,0
2022/8/15,0
2022/8/15,0
2022/8/15,0
2022/8/15,11
2022/8/15,25
2022/8/15,77
2022/8/15,70
2022/8/15,67
2022/8/15,38
2022/8/15,49
2022/8/15,14
2022/8/15,39
2022/8/15,46
2022/8/15,26
2022/8/15,11
2022/8/15,11
2022/8/15,11
2022/8/15,0
2022/8/15,0
2022/8/15,0
2022/8/16,0
2022/8/16,0
2022/8/16,0
2022/8/16,0
2022/8/16,0
2022/8/16,0
2022/8/16,0
2022/8/16,10
2022/8/16,22
2022/8/16,51
2022/8/16,55
2022/8/16,38
2022/8/16,29
2022/8/16,28
2022/8/16,28
2022/8/16,48
2022/8/16,15
2022/8/16,16
2022/8/16,11
2022/8/16,13
2022/8/16,3
2022/8/16,0
2022/8/16,0
2022/8/16,0
2022/8/17,0
2022/8/17,0
2022/8/17,0
2022/8/17,0
2022/8/17,0
2022/8/17,0
2022/8/17,0
2022/8/17,8
2022/8/17,24
2022/8/17,26
2022/8/17,48
2022/8/17,34
2022/8/17,23
2022/8/17,36
2022/8/17,38
2022/8/17,65
2022/8/17,24
